name: RACING AND AFL
label: 2019122901
description: Horseracing and AFL books

Favourite Footy Yarns                          Ken Piesse          echo
Plugger the Tony Lockett Story                 Lockett/Piesse      Sun
My Life Story                                  Ben Cousins         macmillan   
Pumper                                         Larry Cassidy       macmillan
All I can be                                   Nathan Buckley      Penguin
Rex                                            Rex Hunt            Macmillan
Swan Song                                      Paul Kelly          ABC
Pulling no Punches                             Barry Hall          Pier9
Tales from the Inner Sanctum                   various             ResLink
Whole Australian Football Catalogue            Dowes/Hutchison     HarperCollins
The Game of their Lives                        Nick Richardson     Macmillan
What are the odds?                             Bill Waterhouse     Knopf
Gai In my words                                Gai  Waterhouse     slattery
A Horse called mighty                          Helen Thomas        RandomHouse
The Master Bart Cummings                       Les Carlyon         Macmillan
Bart: My Life                                  J B Cummings        Macmillan
True Grit                                      Les Carlyon         Vintage
True Grit                                      Les Carlyon         Mandarin
Black Caviar                                   Gerard Whately      ABC
The Straight Dope                              Chip le Grand       MUP
On the Punt                                    Patrick Bartley     Penguin
Football Ltd                                   Gary Linnell        Macmillan
Good luck and Good punting                     Ken Callendar       Pan
Fitzroy                                        Dyson Hore-Lacy     Lion
Pants Darren Millane Story                     Eddie MacGuire/Jim Main Celebrity
Sport is Life, Life is Sport                   Paul and Tami Roos  Pan
